Oskar
Norwich;1
Everton;2
Sunderland;2
Watford;2
Crystal Palace;1
Southampton;1
West Ham;2
Stoke;2
Manchester C;3
Swansea;1
Bournemouth;1
Manchester U;2
Aston Villa;0
Arsenal;2
Tottenham;2
Newcastle;0
Liverpool;2
WBA;1
Leicester;1
Chelsea;1
Stoke;1
Crystal Palace;1
Chelsea;2
Sunderland;0
Everton;1
Leicester;1
WBA;2
Bournemouth;1
Southampton;1
Tottenham;1
Manchester U;1
Norwich;0
Newcastle;2
Aston Villa;1
Watford;2
Liverpool;2
Swansea;1
West Ham;1
Arsenal;1
Manchester C;1
Stoke;1
Manchester U;1
Bournemouth;2
Crystal Palace;3
Manchester C;4
Sunderland;1
Swansea;1
WBA;1
Liverpool;2
Leicester;2
Chelsea;2
Watford;1
Tottenham;2
Norwich;0
Aston Villa;0
West Ham;1
Newcastle;2
Everton;2
Southampton;1
Arsenal;2
WBA;1
Newcastle;1
Crystal Palace;2
Swansea;1
Norwich;1
Aston Villa;0
Watford;1
Tottenham;2
Everton;2
Stoke;1
Manchester U;0
Chelsea;1
West Ham;0
Southampton;1
Arsenal;3
Bournemouth;1
Leicester;1
Manchester C;1
Sunderland;0
Liverpool;2
West Ham;1
Liverpool;1
Arsenal;2
Newcastle;0
Leicester;1
Bournemouth;0
Manchester U;1
Swansea;0
Norwich;1
Southampton;1
WBA;1
Stoke;1
Sunderland;1
Aston Villa;0
Watford;2
Manchester C;2
Crystal Palace;1
Chelsea;1
Everton;2
Tottenham;2
Aston Villa;
Crystal Palace;
Newcastle;
Manchester U;
Bournemouth;
West Ham;
Swansea;2
Sunderland;1
Stoke;2
Norwich;1
Manchester C;2
Everton;1
Southampton;1
Watford;1
Chelsea;3
WBA;1
Tottenham;1
Leicester;0
Liverpool;1
Arsenal;1
Tottenham;2
Sunderland;0
Newcastle;0
West Ham;1
Southampton;2
WBA;1
Bournemouth;1
Norwich;1
Chelsea;1
Everton;0
Manchester C;3
Crystal Palace;1
Aston Villa;0
Leicester;1
Liverpool;1
Manchester U;1
Stoke;1
Arsenal;2
Swansea;1
Watford;1
Norwich;1
Liverpool;1
Manchester U;2
Southampton;1
Watford;2
Newcastle;1
WBA;2
Aston Villa;1
Leicester;1
Stoke;0
Crystal Palace;0
Tottenham;1
Sunderland;2
Bournemouth;2
West Ham;2
Manchester C;2
Everton;2
Swansea;1
Arsenal;1
Chelsea;1
Norwich;0
Tottenham;1
West Ham;2
Aston Villa;1
Leicester;1
Liverpool;1
Arsenal;2
Southampton;1
Sunderland;1
Manchester C;4
Watford;0
Chelsea;1
Manchester U;2
Stoke;1
Crystal Palace;2
Bournemouth;1
WBA;1
Swansea;1
Everton;2
Newcastle;1
Chelsea;1
Manchester U;1
Aston Villa;1
Norwich;1
Liverpool;2
Sunderland;1
Manchester C;2
Leicester;1
Tottenham;2
Watford;0
Stoke;2
Everton;2
Newcastle;1
WBA;2
Southampton;1
West Ham;1
Swansea;2
Crystal Palace;1
Bournemouth;1
Arsenal;3
Aston Villa;1
Liverpool;2
Bournemouth;1
Stoke;1
Chelsea;1
Newcastle;0
Norwich;1
West Ham;2
Arsenal;1
Leicester;1
Crystal Palace;0
Watford;0
Manchester C;1
Tottenham;1
Sunderland;0
Manchester U;1
Swansea;0
Southampton;1
Everton;2
WBA;0
Manchester U;1
Arsenal;1
Newcastle;1
Manchester C;2
Leicester;2
Norwich;0
Liverpool;2
Everton;2
Stoke;2
Aston Villa;0
Tottenham;2
Swansea;0
Southampton;1
Chelsea;1
Watford;2
Bournemouth;1
West Ham;1
Sunderland;0
WBA;1
Crystal Palace;0
Leicester;2
WBA;1
Arsenal;2
Swansea;1
Bournemouth;0
Southampton;1
Norwich;0
Chelsea;2
Sunderland;2
Crystal Palace;1
Aston Villa;1
Everton;3
West Ham;1
Tottenham;1
Manchester U;2
Watford;1
Liverpool;1
Manchester C;2
Stoke;2
Newcastle;1
Chelsea;3
Stoke;1
Crystal Palace;1
Liverpool;2
Newcastle;2
Bournemouth;1
WBA;2
Manchester U;2
Manchester C;4
Aston Villa;1
Everton;2
West Ham;1
Tottenham;2
Arsenal;1
Watford;1
Leicester;2
Southampton;1
Sunderland;0
Swansea;2
Norwich;0
